,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Into the Deep (film),66199162,Q104830609,Into the Deep: The Submarine Murder Case,2020-01-24T00:00:00Z,,87,"English, Danish",Denmark,"['documentary', 'crime']","['100%', '8.3/10']",[''],[''],
Introducing the Kujus,66069582,Q104880098,Introducing the Kujus,2020-11-27T00:00:00Z,,125,"English, Yoruba",Nigeria,['comedy'],[''],"[""Africa Magic Viewers' Choice Awards""]","[""Africa Magic Viewers' Choice Awards""]",
Intruder (2020 film),63955207,Q85986468,Intruder,2020-06-04T00:00:00Z,,102,Korean,South Korea,['thriller'],[''],[''],[''],
The Intruder (2020 film),62969935,Q84000080,The Intruder,2020-02-01T00:00:00Z,,90,Spanish,"Argentina, Mexico",['thriller'],[''],[''],['International Submission to the Academy Awards'],
Intuition (film),64096355,Q96279102,Intuition,2020-01-01T00:00:00Z,,116,Spanish,Argentina,"['crime', 'drama']",[''],[''],[''],
Invasion (2020 film),57994877,Q55655546,Invasion,2020-01-01T00:00:00Z,,129,Russian,Russia,"['adventure', 'survival', 'alien invasion', 'thriller']",[''],[''],[''],645000000
The Invisible Man (2020 film),60478293,Q64004122,The Invisible Man,2020-02-27T00:00:00Z,,124,English,"Australia, United States of America","['drama', 'horror', 'thriller']","['7.7/10', '91%', '72/100']","['AACTA Award for Best Sound', 'AACTA Award for Best Editing', 'AACTA Award for Best Cinematography']","['AACTA Award for Best Film', 'AACTA Award for Best Cinematography', 'AACTA Award for Best Actress in a Leading Role', 'AACTA Award for Best Direction', 'AACTA Award for Best Editing', 'AACTA Award for Best Production Design', 'AACTA Award for Best Sound', 'Australian Film Institute Award for Best Screenplay']",
The Invisible (2020 film),69990600,Q86689377,The Invisible,2020-01-01T00:00:00Z,232517,84,Spanish,Spain,['comedy drama'],[''],[''],[''],200000
Io sto bene,69113315,Q105658616,Io sto bene,2020-10-13T00:00:00Z,,94,French,Luxembourg,[''],[''],[''],['International Submission to the Academy Awards'],
Irandam Kuththu,65851551,Q102036326,Irandam Kuththu,,,,,,,,,,
Irradiated (film),63020949,Q84271770,Irradiated,2020-01-01T00:00:00Z,,,French,"Cambodia, France",['documentary'],[''],[''],[''],
Irresistible (2020 film),58649000,Q65091143,Irresistible,2020-01-01T00:00:00Z,,101,English,United States of America,"['comedy', 'political']","['5.5/10', '41%', '47/100']",[''],[''],
Irumbu Manithan,63454720,Q96382883,Irumbu Manithan,,,,,,,,,,
Isa Pang Bahaghari,61348525,Q66789363,Isa Pang Bahaghari,,,,,,,,,,
Isi & Ossi,62786646,Q83973488,Isi & Ossi,2020-01-01T00:00:00Z,,113,"Kurpfalz dialects, German",Germany,"['romantic comedy', 'boxing']",[''],[''],[''],
The Island of Giant Insects (film),65677763,Q24900992,The Island of Giant Insects (film),,,,,,,,,,
The Island Within,69235676,Q109534220,The Island Within,,,,,,,,,,
It Feels So Good (film),64609771,Q65272631,It Feels So Good,2020-01-01T00:00:00Z,,,,Japan,['romance'],[''],[''],[''],
It Snows in Benidorm,63241719,Q86756613,It Snows in Benidorm,2020-12-11T00:00:00Z,323959,117,"Spanish, English",Spain,['drama'],[''],[''],[''],4200000
It's My Life (film),17576975,Q104841157,It's My Life,2020-01-01T00:00:00Z,,,,India,[''],[''],[''],[''],
Jaanu (2020 film),62767335,Q81405504,Jaanu,2020-01-01T00:00:00Z,,,Telugu,India,['romantic comedy'],[''],[''],[''],
Jackie and Oopjen,68387358,Q108122921,Jackie and Oopjen,2020-10-08T00:00:00Z,,,Dutch,Netherlands,"['family', 'comedy']",[''],[''],[''],
Jai Mummy Di,60035355,Q64768303,Jai Mummy Di,2019-01-01T00:00:00Z,,,Hindi,India,"['comedy', 'romantic comedy']","['0%', '2/10']",[''],[''],
Jailbreak Pact,74459612,Q83811588,Jailbreak Pact,2020-01-01T00:00:00Z,,137,Spanish,Chile,"['thriller', 'action']",[''],[''],[''],
"Jakarta, City of Dreamers",74573206,Q109256605,Jakarta vs Everybody,2020-11-14T00:00:00Z,,100,Indonesian,Indonesia,['drama'],[''],[''],[''],
Jasmine Road,70096963,Q111169974,Jasmine Road,,,,,,,,,,
Jasper Mall (film),65865366,Q104871464,Jasper Mall (film),,,,,,,,,,
Jawaani Jaaneman,61067108,Q64768725,Jawaani Jaaneman,2020-01-01T00:00:00Z,,,Hindi,India,['comedy'],"['6.3/10', '69%']",[''],[''],
Jay Sebring....Cutting to the Truth,67923665,Q107349113,Jay Sebring....Cutting to the Truth,2020-03-06T00:00:00Z,,,English,United States of America,['documentary'],"['88%', '8/10']",[''],[''],
Jesse Jams,67283024,Q106522128,Jesse Jams,,,,,,,,,,
Jiang Ziya (film),62602409,Q76780267,Jiang Ziya (film),,,,,,,,,,
Jinde Meriye,62485029,Q77906051,Jinde Meriye,2020-01-24T00:00:00Z,,,Punjabi,India,['romance'],[''],[''],[''],
Jingle Jangle: A Christmas Journey,58511698,Q65091103,Jingle Jangle: A Christmas Journey,2020-01-01T00:00:00Z,,,English,United States of America,"['Christmas', 'steampunk']","['7/10', '89%', '69/100']",[''],[''],
Jio Jamai,64571343,Q97495334,Jio Jamai,,,,,,,,,,
Jiu Jitsu (film),65355241,Q87221150,Jiu Jitsu,2020-11-20T00:00:00Z,,,English,United States of America,['action'],"['28%', '3.8/10']",[''],[''],
Joe Bell (film),60495094,Q63183574,Joe Bell,2020-01-01T00:00:00Z,,94,English,United States of America,['drama'],"['5.5/10', '39%', '54/100']",[''],[''],
Johaar,65189652,Q100994544,Johaar,,,,,,,,,,
John Bronco,77741168,Q130053629,John Bronco,,,,,,,,,,
John Henry (2020 film),57558285,Q58313654,John Henry,2019-01-01T00:00:00Z,,,English,United States of America,"['drama', 'thriller', 'hood']","['0%', '3.4/10']",[''],[''],
John Lewis: Good Trouble,65856596,Q102036333,John Lewis: Good Trouble,,,,,,,,,,
John Ware Reclaimed,65462295,Q101245233,John Ware Reclaimed,,,,,,,,,,
John Was Trying to Contact Aliens,65005105,Q98546170,John Was Trying to Contact Aliens,,,,,,,,,,
Jora: The Second Chapter,75094092,Q125213962,Jora: The Second Chapter,,,,,,,,,,
Josée (film),66074395,Q103819225,Josée,2020-12-10T00:00:00Z,,117,Korean,South Korea,['romance'],[''],[''],[''],
"Josee, the Tiger and the Fish (2020 film)",64942922,Q106452140,"Josee, the Tiger and the Fish (2020 film)",,,,,,,,,,
Josep (film),67685194,Q99513834,Josep (film),,,,,,,,,,
Joshua (2020 film),62478158,Q108325480,Joshua (2020 film),,,,,,,,,,
The Judgement (2020 film),68386029,Q108123027,The Judgement,2021-09-02T00:00:00Z,,130,Dutch,Netherlands,['thriller'],[''],[''],[''],
Judy Versus Capitalism,66058593,Q104879853,Judy Versus Capitalism,,,,,,,,,,
Jumbo (2020 film),64228716,Q95753983,Jumbo,2020-01-01T00:00:00Z,,93,French,"France, Luxembourg, Belgium",['drama'],"['6.8/10', '78%']",[''],['European Film Award for European Discovery of the Year'],
"Jump, Darling",65521396,Q101245261,"Jump, Darling",2020-10-02T00:00:00Z,,90,English,Canada,['drama'],[''],[''],[''],
The Jump (2020 film),69063080,Q109285261,The Jump (2020 film),,,,,,,,,,
Jungle Beat: The Movie,64394927,Q97274482,Jungle Beat: The Movie,,,,,,,,,,
Just Another Christmas,65980523,Q103928994,Just Another Christmas,2020-12-03T00:00:00Z,,100,Brazilian Portuguese,Brazil,"['Christmas', 'comedy']",[''],[''],[''],
Justice League Dark: Apokolips War,63227776,Q86755534,Justice League Dark: Apokolips War,,,,,,,,,,
Justine (2020 film),72289712,Q115802733,Justine (2020 film),,,,,,,,,,
Ka Pae Ranasingam,65326843,Q99941084,Ka Pae Ranasingam,,,,,,,,,,
Kaali Khuhi,65622763,Q101157418,Kaali Khuhi,2020-01-01T00:00:00Z,,90,Hindi,India,['horror'],"['4.5/10', '56%']",[''],[''],
Kaanadante Maayavadanu,61296248,Q64768716,Kaanadante Maayavadanu,2019-01-01T00:00:00Z,,,Kannada,India,['thriller'],[''],[''],[''],
Kaanchli Life in a Slough,62945350,Q85773258,Kaanchli Life in a Slough,,,,,,,,,,
Kaiji: Final Game,63732252,Q96385032,Kaiji: Final Game,2020-01-01T00:00:00Z,,,Japanese,Japan,[''],[''],[''],[''],
Kajillionaire,61076534,Q54868299,Kajillionaire,2020-09-30T00:00:00Z,,104,English,United States of America,"['crime', 'coming-of-age fiction']","['90%', '7.4/10', '78/100']",[''],[''],
Kala azar (film),67251197,Q106483669,Kala azar,2020-01-01T00:00:00Z,,,,Greece,[''],[''],[''],[''],
Kalamandalam Hyderali (film),62697047,Q85773362,Kalamandalam Hyderali,2020-01-01T00:00:00Z,,,Malayalam,India,['musical'],[''],[''],[''],
Kalira Atita,65781229,Q115978818,Kalira Atita,,,,,,,,,,
Kalla Nottam,71632638,Q113954302,Kalla Nottam,,,,,,,,,,
Kambili: The Whole 30 Yards,66248931,Q104834026,Kambili: The Whole 30 Yards,2020-01-01T00:00:00Z,,120,English,"China, Nigeria, South Africa",['romance'],[''],[''],[''],
Kamen Rider Zero-One the Movie: Real×Time,66000597,Q97341535,Kamen Rider Zero-One: REAL×TIME,2020-01-01T00:00:00Z,,,Japanese,Japan,['tokusatsu'],[''],[''],[''],
Kan Ma Pha La,65747890,Q101245444,Kan Ma Pha La,,,,,,,,,,
Kandisha (2020 film),66344756,Q105081798,Kandisha,2020-01-01T00:00:00Z,,,"French, Arabic",France,['horror'],[''],[''],[''],
Kanni Maadam,63531217,Q96385335,Kanni Maadam,,,,,,,,,,
Kanni Raasi,55543462,Q48671163,Kanni Raasi,,,,,,,,,,
Kannum Kannum Kollaiyadithaal,56440839,Q48671740,Kannum Kannum Kollaiyadaithaal,2018-10-05T00:00:00Z,,,Tamil,India,"['thriller', 'romantic comedy']",[''],[''],[''],
Kapaemahu (film),65061348,Q104813295,Kapaemahu (film),,,,,,,,,,
Kappela,63085154,Q85773566,Kappela,2020-01-01T00:00:00Z,,,Malayalam,India,['drama'],[''],[''],[''],
Karnawal (film),74449299,Q102288173,Karnawal,2020-03-21T00:00:00Z,,95,Spanish,"Argentina, Chile, Brazil",['musical'],[''],"['Platino Award for Best Supporting Actor', 'Platino Award for Best First Feature Film']",[''],
Karthik Dial Seytha Yenn,63941083,Q96385442,Karthik Dial Seytha Yenn,,,,,,,,,,
Kat and the Band,64988902,Q97361793,Kat and the Band,2020-07-13T00:00:00Z,,92,English,United Kingdom,"['drama', 'coming-of-age fiction']",[''],[''],[''],
Kavalthurai Ungal Nanban,65192907,Q104854221,Kavalthurai Ungal Nanban,,,,,,,,,,
Keep Your Hands Off Eizouken! (film),60708278,Q65068326,Keep Your Hands Off Eizouken! (film),,,,,,,,,,
Kem Chho?,63195590,Q86753608,Kem Chho?,,,,,,,,,,
Kenny & Spenny: Paldemic,70314421,Q111938977,Kenny & Spenny: Paldemic,,,,,,,,,,
Kesari (2020 film),63164973,Q85846300,Kesari,2020-02-28T00:00:00Z,,,Marathi,India,['drama'],[''],[''],[''],
Kevin Hart: Zero F**ks Given,65848072,Q102039384,Kevin Hart: Zero Fucks Given,2020-01-01T00:00:00Z,,,English,United States of America,['comedy'],[''],[''],[''],
Khaali Peeli,61623603,Q77889909,Khaali Peeli,2020-01-01T00:00:00Z,,,Hindi,India,"['romance', 'action']",[''],[''],[''],
Khaki (2020 film),63225048,Q86755319,Khaki,2020-01-01T00:00:00Z,,,Kannada,India,['drama'],[''],[''],[''],
Khisa (film),66339803,Q105063732,Khisa (film),,,,,,,,,,
Khorfakkan (2020 film),74056445,Q120176358,Khorfakkan,2020-01-01T00:00:00Z,,,,,[''],[''],[''],[''],
Khuda Haafiz,62055913,Q77894018,Khuda Haafiz,2020-01-01T00:00:00Z,,,Hindi,India,['romantic thriller'],[''],[''],[''],
The Kid Detective,65814117,Q102036284,The Kid Detective,2020-01-01T00:00:00Z,,,,Canada,[''],"['7.1/10', '84%']",[''],[''],
Kill Chain: The Cyber War on America's Elections,65004568,Q101245045,Kill Chain: The Cyber War on America's Elections,,,,,,,,,,
Kill It and Leave This Town,67309198,Q97167507,Kill It and Leave This Town,,,,,,,,,,
Kill Pinochet,69542680,Q101623511,Kill Pinochet,2020-01-01T00:00:00Z,,81,Spanish,Chile,"['thriller', 'drama']",[''],[''],[''],
Killer Spider,69797360,Q85973226,Killer Spider,,,,,,,,,,
Killian & the Comeback Kids,61302770,Q65677534,Killian & the Comeback Kids,,,,,,,,,,
The Killing of Two Lovers,65713730,Q101093703,The Killing of Two Lovers,2020-01-01T00:00:00Z,,84,English,United States of America,['drama'],"['93%', '8/10']",[''],[''],
Kilometers and Kilometers,63692445,Q96385947,Kilometers and Kilometers,2020-01-01T00:00:00Z,,129,Malayalam,India,"['road movie', 'comedy drama']",[''],[''],[''],
Kindred (film),65775208,Q104868573,Kindred,2020-10-21T00:00:00Z,,,English,United Kingdom,[''],"['6.2/10', '69%']",[''],[''],
The King of Staten Island,59830855,Q64338076,The King of Staten Island,2020-01-01T00:00:00Z,2200000,136,English,United States of America,"['comedy', 'drama']","['6.9/10', '75%', '67/100']",[''],[''],35000000
King Rocker,66632282,Q105605416,King Rocker,,,,,,,,,,
Kishiryu Sentai Ryusoulger VS Lupinranger VS Patranger the Movie,62670121,Q85877182,Kishiryu Sentai Ryusoulger VS Lupinranger VS Patranger the Movie,2020-01-01T00:00:00Z,,,Japanese,Japan,[''],[''],[''],[''],
Kiss Me Kosher,69475834,Q98397037,Kiss Me Kosher,2020-01-01T00:00:00Z,,106,"German, English, Hebrew, Arabic","Israel, Germany","['LGBT-related', 'comedy']",[''],[''],[''],
Kiss the Ground,76271138,Q99935074,Kiss the Ground,2020-10-01T00:00:00Z,,,,United States of America,['documentary'],"['88%', '6.5/10']",[''],[''],
The Kissing Booth 2,61345131,Q73535881,The Kissing Booth 2,2020-07-24T00:00:00Z,,131,English,"United Kingdom, United States of America","['romantic comedy', 'teen']","['4.3/10', '27%', '39/100']",[''],[''],
Kitty Love: An Homage to Cats,69700632,Q110517221,Kitty Love: An Homage to Cats,2020-09-30T00:00:00Z,,,Dutch,Netherlands,['documentary'],[''],[''],[''],
Kkum,65925916,Q106770900,Kkum,,,,,,,,,,
The Knight and the Princess,63602659,Q85871163,The Knight and the Princess,2019-01-01T00:00:00Z,,,Arabic,Egypt,[''],[''],[''],[''],
Knockout (2020 film),72680719,Q96575723,Knockout (2020 film),,,,,,,,,,
Knuckledust (film),65745762,Q104867894,Knuckledust,2020-12-08T00:00:00Z,,105,,United Kingdom,['action-adventure'],"['5.6/10', '57%']",[''],[''],
Kokuhaku Jikkō Iinkai: Ren'ai Series,54274723,Q30240458,Kokuhaku Jikkō Iinkai: Ren'ai Series,,,,,,,,,,
Kombu (film),66883130,Q105846713,Kombu,2020-01-01T00:00:00Z,,,Tamil,India,[''],[''],[''],[''],
Konga TNT,68183268,Q107610500,Konga TNT,,,,,,,,,,
Kontora,74775336,Q122333242,Kontora,,,,,,,,,,
Kozhipporu,63757777,Q96386346,Kozhipporu,,,,,,,,,,
Krishna and His Leela,64372898,Q97355019,Krishna and His Leela,,,,,,,,,,
Kubrick by Kubrick,63913410,Q97293103,Kubrick by Kubrick,2020-01-01T00:00:00Z,,,,,['documentary'],"['82%', '5.6/10']",[''],[''],
Kud Wafter (film),25618464,Q2985629,Kud Wafter (film),,,,,,,,,,
The Kung Fu Master,63361502,Q96409412,The Kung Fu Master,,,,,,,,,,
Kupała,71372835,Q66426263,Kupała,2020-01-01T00:00:00Z,,150,Belarusian,Belarus,"['drama', 'biographical', 'historical']",[''],[''],[''],1500000
Kushka (film),5283753,Q60737502,Kushka,2018-01-01T00:00:00Z,,,Kannada,India,['drama'],[''],[''],[''],
Kyō Kara Ore Wa!! (film),14641075,Q1402335,Kyō Kara Ore Wa!! (film),,,,,,,,,,
L.O.R.D: Legend of Ravaging Dynasties 2,57474845,Q55080294,L.O.R.D: Legend of Ravaging Dynasties 2,2018-01-01T00:00:00Z,,,Mandarin,People's Republic of China,['adventure'],[''],[''],[''],
L'étranger series,62155925,Q120089490,L'étranger series,,,,,,,,,,
LA Originals,64257855,Q90712852,LA Originals,2020-01-01T00:00:00Z,,92,,"Argentina, United States of America",['documentary'],"['88%', '9.2/10']",[''],[''],
Ladies of Steel,75473782,Q65245405,Ladies of Steel,2020-01-03T00:00:00Z,,92,Finnish,Finland,"['drama', 'comedy']",[''],[''],['European Film Award for Best Comedy'],
Lady Buckit and the Motley Mopsters,66100030,Q104880757,Lady Buckit and the Motley Mopsters,,,,,,,,,,
Lady Danger,65091429,Q104852963,Lady Danger,,,,,,,,,,
Laila in Haifa,64692879,Q97827149,Laila in Haifa,2020-09-07T00:00:00Z,,99,"Hebrew, Arabic","France, Israel",['drama'],['25/100'],[''],[''],
Lamp Life,20800509,Q2316015,Lamp Life,,,,,,,,,,
Lapsis,68081403,Q107524739,Lapsis,,,,,,,,,,
Lassie Come Home (2020 film),78182208,Q80265844,Lassie Come Home,2020-02-20T00:00:00Z,,,German,Germany,['adventure'],[''],[''],[''],
Last and First Men (film),67545239,Q83178487,Last and First Men,2020-01-01T00:00:00Z,,70,,Iceland,[],"['100%', '8.4/10', '80/100']",[''],[''],
The Last Blockbuster,67118167,Q106298449,The Last Blockbuster,2020-01-01T00:00:00Z,,,,United States of America,['documentary'],"['7.1/10', '68%']",[''],[''],
Last Call (2020 film),71541509,Q113669314,Last Call (2020 film),,,,,,,,,,
The Last Champion,68687379,Q108672944,The Last Champion,,,,,,,,,,
The Last Days of American Crime,58010112,Q58313468,The Last Days of American Crime,2020-01-01T00:00:00Z,,149,English,United States of America,['action'],"['0%', '2.6/10', '15/100']",[''],[''],
Last Drop (film),77447887,Q128034245,Last Drop,2020-01-01T00:00:00Z,,,English,India,['documentary'],[''],[''],[''],
The Last Frontier (2020 film),65763926,Q96680099,The Last Frontier,2020-01-01T00:00:00Z,,130,"German, Russian",Russia,['war'],[''],[''],[''],
Last Journey of Paul W.R.,72930277,Q106888339,The Last Journey,2020-09-01T00:00:00Z,,87,French,France,['post-apocalyptic'],[''],[''],[''],
Last Letter (2020 film),66930845,Q56354233,Last Letter,2020-01-17T00:00:00Z,,,Japanese,Japan,['romance'],[''],[''],[''],
The Last Matinee,66432782,Q104903957,Red Screening,2020-01-01T00:00:00Z,,88,Spanish,"Argentina, Mexico, Uruguay",['horror'],[''],[''],[''],
Last Moment of Clarity,63549115,Q96386967,Last Moment of Clarity,2020-05-19T00:00:00Z,,90,English,United States of America,"['neo-noir', 'thriller']",[''],[''],[''],
The Last Ones (film),65718852,Q97200052,The Last Ones,2020-09-11T00:00:00Z,,119,Finnish,"Estonia, Netherlands, Finland",['drama'],[''],[''],['International Submission to the Academy Awards'],1680000
The Last Shift,62589960,Q83726977,The Last Shift,2020-01-01T00:00:00Z,,,English,United States of America,['comedy'],"['58', '64', '6.4']",[''],[''],
The Last Thanksgiving,65954652,Q105393660,The Last Thanksgiving,,,,,,,,,,
The Last Thing He Wanted (film),56625239,Q55635341,The Last Thing He Wanted,2020-01-01T00:00:00Z,,115,English,"United Kingdom, United States of America",['thriller'],"['5', '3.2', '35/100']",[''],[''],
The Last Warrior: Root of Evil,66218285,Q63981637,The Last Warrior: Root of Evil,2020-01-01T00:00:00Z,,121,Russian,Russia,['adventure'],[''],[''],[''],
Last Words (2020 film),64191660,Q96386983,Last Words,2020-01-01T00:00:00Z,,126,"Italian, English","France, Italy, United States of America",[],[''],[''],[''],
Lata Bhagwan Kare,67419658,Q104608262,Lata Bhagwan Kare,2020-01-17T00:00:00Z,,,Marathi,India,['biographical'],[''],[''],[''],
Laughter (2020 film),63940855,Q96387029,Laughter,2020-01-27T00:00:00Z,,124,Quebec French,Canada,['comedy drama'],[''],[''],[''],
Laura Hasn't Slept,71913511,Q90135337,Laura Hasn't Slept,,,,,,,,,,
Law (film),64443006,Q97185251,Law,2020-07-17T00:00:00Z,,119,Kannada,India,['legal drama'],[''],[''],[''],
Laxmii,60502186,Q63349731,Laxmii,2020-01-01T00:00:00Z,,,Hindi,India,"['comedy horror', 'LGBT-related']",[''],[''],[''],
Lazy Susan (film),63148627,Q85776043,Lazy Susan,2020-01-01T00:00:00Z,,,,United States of America,['comedy'],"['3.8/10', '10%']",[''],[''],
Leap (film),62381901,Q65057399,Leap,2020-01-19T00:00:00Z,,135,Mandarin,People's Republic of China,['sport'],[''],[''],['International Submission to the Academy Awards'],
Leave 'Em Laughing (2020 film),71269982,Q65767123,Leave 'em Laughing,2020-12-31T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
A Leg,67822914,Q101215862,A Leg,2020-01-01T00:00:00Z,,,,Taiwan,[''],[''],[''],[''],
Legacy of Lies,69625390,Q99719238,Legacy of Lies,2020-01-01T00:00:00Z,,,,,['spy'],"['5.2/10', '86%']",[''],[''],
The Legend of Inikpi,63878119,Q96409432,The Legend of Inikpi,2020-01-01T00:00:00Z,29900000,,English,Nigeria,['epic'],[''],[''],[''],
The Legion (film),65353133,Q104857613,The Legion,2020-05-08T00:00:00Z,,,"Spanish, English","Spain, United States of America","['sword-and-sandal', 'action-adventure']",['0%'],[''],[''],
Lego DC: Shazam!: Magic and Monsters,63591088,Q96387207,Lego DC: Shazam!: Magic and Monsters,,,,,,,,,,
Lejos de casa: éxodo venezolano,63314049,Q87343802,Lejos de Casa,2020-01-01T00:00:00Z,,,,Chile,['drama'],[''],[''],[''],
Let Him Go,60032333,Q63434250,Let Him Go,2020-01-01T00:00:00Z,,114,English,United States of America,['thriller'],"['7/10', '84%']",[''],[''],
Let It Snow (2020 film),65485228,Q104412858,Let It Snow,2020-09-22T00:00:00Z,,86,,,[''],[''],[''],[''],
Let Them All Talk (film),61523994,Q66828800,Let Them All Talk,2020-01-01T00:00:00Z,,113,English,United States of America,['adventure'],"['88%', '7.2/10', '72/100']",[''],[''],
Let's Scare Julie,76082112,Q124540957,Let's Scare Julie,,,,,,,,,,
The Letter Room,66103615,Q104176991,The Letter Room,,,,,,,,,,
La Leyenda Negra (film),65947867,Q104875853,La Leyenda Negra (film),,,,,,,,,,
Leyla Everlasting,66009110,Q85967411,Leyla Everlasting,2020-12-04T00:00:00Z,,112,Turkish,Turkey,['comedy'],[''],[''],[''],
The Life Ahead,63137584,Q85807735,The Life Ahead,2020-11-13T00:00:00Z,,94,Italian,"Italy, United States of America",['drama'],"['7.1/10', '92%', '66/100']",[''],[''],
Life as It Should Be,66447888,Q104929713,Life as It Should Be,2020-07-29T00:00:00Z,,108,Dutch,Netherlands,[''],"['5.8/10', '2.95/5']",[''],[''],
Life in a Year,63985777,Q96387452,Life in a Year,2020-01-01T00:00:00Z,,107,English,United States of America,"['drama', 'romance']",[''],[''],[''],
A Life of Speed: The Juan Manuel Fangio Story,64249657,Q90300649,A Life of Speed: The Juan Manuel Fangio Story,2020-01-01T00:00:00Z,,92,,Argentina,[''],[''],[''],[''],
La liga de los 5,61053071,Q64768717,La liga de los 5,2019-01-01T00:00:00Z,,89,Spanish,Mexico,"[""children's""]",[''],[''],[''],
Like a Boss (film),57932295,Q57779949,Like a Boss,2020-01-10T00:00:00Z,,,English,United States of America,['comedy'],"['4.1/10', '21%']",[''],[''],
Limbo (2020 film),64730962,Q98078202,Limbo,2020-01-01T00:00:00Z,,104,English,United Kingdom,['drama'],"['7.9/10', '93%', '83/100']",[''],[''],
Lingering (film),73353385,Q93740598,Lingering,2020-04-29T00:00:00Z,,,Korean,South Korea,['horror'],"['6/10', '67%']",[''],[''],
A Lion Returns,72290123,Q115627291,A Lion Returns,,,,,,,,,,
Listen (2020 film),65855282,Q104870690,Listen (2020 film),,,,,,,,,,
Little Big Women,66653716,Q104051116,Little Big Women,2020-01-01T00:00:00Z,,,,Taiwan,[''],[''],[''],[''],
Little Fish (2021 film),60201132,Q63927162,Little Fish,2021-01-01T00:00:00Z,,101,English,United States of America,['romance'],"['7.4/10', '71/100', '91%']",[''],[''],
Little Girl (film),70242045,Q84810567,Little Girl,2020-02-27T00:00:00Z,,90,French,France,['documentary'],[''],['European Film Award for Best Sound Designer'],['European Film Award for Best Documentary'],
Little Orphans,66168428,Q104835228,Little Orphans,,,,,,,,,,
A Little Red Flower,66371163,Q104532857,A Little Red Flower,2020-12-31T00:00:00Z,1433000000,122,Chinese,People's Republic of China,[],[''],['Huabiao Award for Outstanding Film'],[''],
Little Vampire,68850089,Q25396958,Little Vampire,2020-01-01T00:00:00Z,,82,French,France,['vampire'],[''],[''],[''],
Living in the Sky,66615231,Q105628506,Living in the Sky,,,,,,,,,,
Lizard (film),69155762,Q109581198,Lizard (film),,,,,,,,,,
LM5: The Tour Film,65788849,Q106982032,LM5: The Tour Film,2020-11-21T00:00:00Z,,,English,United Kingdom,['concert'],[''],[''],[''],
Lock Up (2020 film),64072030,Q99210464,Lock Up,2020-01-01T00:00:00Z,,,Tamil,India,[''],[''],[''],[''],
Lockdown all'italiana,65495803,Q99942964,Lockdown all'italiana,2020-10-15T00:00:00Z,,94,Italian,Italy,['comedy'],[''],[''],[''],
Locos de amor 3,72623953,Q105883534,Locos de amor 3,2020-01-01T00:00:00Z,,,Spanish,Peru,['musical'],[''],[''],[''],
London Confidential,65287791,Q101245144,London Confidential,2020-09-18T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
London Hughes: To Catch a D*ck,66747979,Q105706958,London Hughes: To Catch a D*ck,,,,,,,,,,
The Long Breakup,73116331,Q111357160,The Long Breakup,,,,,,,,,,
The Long Goodbye (2020 film),63224840,Q88775251,The Long Goodbye (2020 film),,,,,,,,,,
Longing with Love,67943024,Q107360498,Longing with Love,,,,,,,,,,
Looking for Magical Doremi,61255353,Q63312461,Looking for Magical Doremi,,,,,,,,,,
Looks That Kill (film),64280222,Q96312543,Looks That Kill,2020-01-01T00:00:00Z,,92,English,United States of America,['comedy drama'],[''],[''],[''],
Loop (2020 film),62403983,Q83962045,Loop (2020 film),,,,,,,,,,
Lootcase,61790968,Q77892513,Lootcase,2020-01-01T00:00:00Z,,132,Hindi,India,['romantic comedy'],[''],[''],[''],
Lorelei (film),65086311,Q94085995,Lorelei,2020-01-01T00:00:00Z,,,English,United States of America,['independent'],"['88%', '7.3/10']",[''],[''],
The Loss Adjuster,67830260,Q107272449,The Loss Adjuster,,,,,,,,,,
Lost at Christmas,64567141,Q97473795,Lost at Christmas,,,,,,,,,,
Lost Bullet (2020 film),64319504,Q64441862,Lost Bullet,2020-01-01T00:00:00Z,,92,French,France,['action'],[''],[''],[''],
Lost Girls (film),58766125,Q57524645,Lost Girls,2020-01-01T00:00:00Z,,95,English,United States of America,"['mystery', 'drama']","['6.1/10', '67/100', '72%']",[''],[''],
Lost Girls & Love Hotels,64508008,Q42947839,Lost Girls and Love Hotels,2020-01-01T00:00:00Z,,97,English,United States of America,"['thriller', 'drama']","['5.5/10', '50%', '57/100']",[''],[''],
The Lost Husband,64593080,Q97574323,The Lost Husband,2020-04-10T00:00:00Z,,,English,United States of America,['romance'],"['5.8/10', '55%']",[''],[''],
Lost in Russia,62922787,Q83509064,Lost in Russia,,,,,,,,,,
LOUD,69071779,Q109285390,LOUD,2020-11-20T00:00:00Z,300000,95,English,Nigeria,['musical'],[''],[''],[''],
Louis van Beethoven (film),75734720,Q99485523,Louis van Beethoven (film),,,,,,,,,,
Louis' Shoes,69190616,Q110124222,Louis' Shoes,,,,,,,,,,
Love (2020 film),65153162,Q104853526,Love,2021-01-29T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
Love Aaj Kal (2020 film),60289712,Q64768455,Love Aaj Kal,2020-01-01T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
